direction,entry_time,entry_price,sl_price,tp_price,sl_distance,risk_amount,macd_line,macd_sig,exit_price,exit_time,result,pnl,capital,year
BUY,2023-02-20 09:00:00,1844.94,1842.89,1846.99,2.05,643.09,1.4483,1.3697,1846.99,2023-02-20 10:00:00,TP,643.09,22079.54,2023
BUY,2023-02-21 03:30:00,1842.68,1840.04,1845.32,2.64,662.39,-0.3972,-0.5918,1840.04,2023-02-21 05:00:00,SL,-662.39,21417.15,2023
SELL,2023-02-22 21:00:00,1828.69,1833.77,1823.61,5.08,642.51,-2.2217,-1.5955,1823.61,2023-02-22 22:00:00,TP,642.51,22059.66,2023
BUY,2023-02-24 02:30:00,1824.74,1822.92,1826.56,1.82,661.79,0.2319,-0.1472,1826.56,2023-02-24 02:45:00,TP,661.79,22721.45,2023
SELL,2023-02-24 09:15:00,1823.21,1826.33,1820.09,3.12,681.64,-0.1977,0.1622,1820.09,2023-02-24 10:00:00,TP,681.64,23403.09,2023
SELL,2023-02-24 15:30:00,1814.79,1818.37,1811.21,3.58,702.09,-2.8624,-2.1927,1811.21,2023-02-24 16:15:00,TP,702.09,24105.18,2023
BUY,2023-02-27 15:30:00,1813.06,1810.19,1815.93,2.87,723.16,0.6357,0.3967,1815.93,2023-02-27 15:45:00,TP,723.16,24828.34,2023
BUY,2023-02-27 16:45:00,1817.9,1814.6,1821.2,3.3,744.85,2.1228,1.2477,1814.6,2023-02-27 17:30:00,SL,-744.85,24083.49,2023
BUY,2023-03-02 18:30:00,1838.36,1835.97,1840.75,2.39,722.5,1.439,0.983,1835.97,2023-03-02 18:45:00,SL,-722.5,23360.99,2023
SELL,2023-03-08 15:15:00,1812.7,1815.26,1810.14,2.56,700.83,0.1713,0.4869,1815.26,2023-03-08 16:30:00,SL,-700.83,22660.16,2023
SELL,2023-03-08 22:00:00,1815.28,1816.4,1814.16,1.12,679.8,-0.2457,0.0359,1814.16,2023-03-08 22:30:00,TP,679.8,23339.96,2023
BUY,2023-03-09 09:15:00,1814.99,1812.79,1817.19,2.2,700.2,-0.0471,-0.0964,1817.19,2023-03-09 10:30:00,TP,700.2,24040.16,2023
BUY,2023-03-16 07:15:00,1915.67,1912.17,1919.17,3.5,721.2,-1.2141,-2.0029,1919.17,2023-03-16 07:30:00,TP,721.2,24761.36,2023
SELL,2023-03-21 19:00:00,1940.16,1944.89,1935.43,4.73,742.84,-8.8853,-8.1215,1944.89,2023-03-22 03:00:00,SL,-742.84,24018.52,2023
BUY,2023-03-23 20:30:00,2003.04,1998.53,2007.55,4.51,720.56,8.0903,6.4421,1998.53,2023-03-23 20:45:00,SL,-720.56,23297.96,2023
BUY,2023-03-24 06:45:00,1993.25,1991.16,1995.34,2.09,698.94,0.2503,0.1917,1991.16,2023-03-24 07:15:00,SL,-698.94,22599.02,2023
SELL,2023-03-28 10:30:00,1952.17,1956.92,1947.42,4.75,677.97,-1.768,-0.9457,1956.92,2023-03-28 13:15:00,SL,-677.97,21921.05,2023
BUY,2023-04-03 16:30:00,1980.04,1972.4,1987.68,7.64,657.63,6.3506,6.0612,1987.68,2023-04-03 17:15:00,TP,657.63,22578.68,2023
BUY,2023-04-04 09:30:00,1981.68,1977.01,1986.35,4.67,677.36,-0.7628,-1.1107,1986.35,2023-04-04 16:15:00,TP,677.36,23256.04,2023
BUY,2023-04-05 10:00:00,2026.47,2022.91,2030.03,3.56,697.68,1.7184,1.6292,2022.91,2023-04-05 12:00:00,SL,-697.68,22558.36,2023
SELL,2023-04-06 04:45:00,2012.72,2015.33,2010.11,2.61,676.75,-2.6552,-1.655,2010.11,2023-04-06 05:30:00,TP,676.75,23235.11,2023
SELL,2023-04-06 15:30:00,2013.96,2020.71,2007.21,6.75,697.05,0.3023,1.086,2007.21,2023-04-06 16:30:00,TP,697.05,23932.16,2023
BUY,2023-04-10 13:30:00,2001.99,1999.96,2004.02,2.03,717.96,1.8111,0.9508,1999.96,2023-04-10 15:00:00,SL,-717.96,23214.2,2023
BUY,2023-04-13 16:45:00,2046.53,2039.75,2053.31,6.78,696.43,7.6096,5.4826,2039.75,2023-04-13 17:30:00,SL,-696.43,22517.77,2023
BUY,2023-04-14 04:15:00,2045.39,2041.16,2049.62,4.23,675.53,1.5611,1.0831,2041.16,2023-04-14 08:30:00,SL,-675.53,21842.24,2023
SELL,2023-04-17 15:15:00,2007.74,2010.66,2004.82,2.92,655.27,0.0066,0.4005,2004.82,2023-04-17 15:30:00,TP,655.27,22497.51,2023
BUY,2023-04-19 02:45:00,2005.71,2004.88,2006.54,0.83,674.93,0.2473,0.2429,2006.54,2023-04-19 03:00:00,TP,674.93,23172.44,2023
SELL,2023-04-19 06:30:00,2003.1,2004.81,2001.39,1.71,695.17,-0.5432,-0.3119,2001.39,2023-04-19 08:30:00,TP,695.17,23867.61,2023
SELL,2023-04-25 14:30:00,1979.25,1982.89,1975.61,3.64,716.03,-4.3152,-3.014,1982.89,2023-04-25 15:15:00,SL,-716.03,23151.58,2023
SELL,2023-04-26 18:45:00,1991.42,1997.31,1985.53,5.89,694.55,-1.0561,0.3137,1985.53,2023-04-26 19:15:00,TP,694.55,23846.13,2023
SELL,2023-04-28 15:30:00,1979.79,1987.62,1971.96,7.83,715.38,-1.3794,-1.1097,1987.62,2023-04-28 16:15:00,SL,-715.38,23130.75,2023
BUY,2023-05-02 12:30:00,1984.79,1980.56,1989.02,4.23,693.92,-0.1025,-0.2767,1989.02,2023-05-02 14:00:00,TP,693.92,23824.67,2023
SELL,2023-05-05 10:00:00,2045.5,2047.45,2043.55,1.95,714.74,-1.005,-0.569,2043.55,2023-05-05 10:15:00,TP,714.74,24539.41,2023
SELL,2023-05-11 09:30:00,2029.42,2032.75,2026.09,3.33,736.18,-0.2836,-0.0512,2026.09,2023-05-11 10:00:00,TP,736.18,25275.59,2023
SELL,2023-05-18 10:45:00,1974.54,1979.42,1969.66,4.88,758.27,-2.158,-1.6698,1969.66,2023-05-18 15:30:00,TP,758.27,26033.86,2023
SELL,2023-05-19 15:15:00,1962.58,1964.89,1960.27,2.31,781.02,-0.1092,0.5276,1960.27,2023-05-19 16:30:00,TP,781.02,26814.88,2023
BUY,2023-05-19 20:15:00,1979.54,1977.28,1981.8,2.26,804.45,5.7818,3.9877,1981.8,2023-05-19 20:45:00,TP,804.45,27619.33,2023
BUY,2023-05-31 08:30:00,1961.66,1958.08,1965.24,3.58,828.58,0.8184,0.2538,1965.24,2023-05-31 08:45:00,TP,828.58,28447.91,2023
SELL,2023-06-01 07:30:00,1963.5,1965.05,1961.95,1.55,853.44,-0.3073,-0.1226,1965.05,2023-06-01 08:30:00,SL,-853.44,27594.47,2023
SELL,2023-06-06 16:30:00,1958.92,1964.75,1953.09,5.83,827.83,0.4206,0.9447,1964.75,2023-06-06 19:00:00,SL,-827.83,26766.64,2023
BUY,2023-06-08 19:00:00,1967.98,1965.46,1970.5,2.52,803.0,7.0106,6.8425,1965.46,2023-06-08 20:00:00,SL,-803.0,25963.64,2023
BUY,2023-06-12 08:00:00,1959.63,1956.6,1962.66,3.03,778.91,-0.5821,-1.1448,1962.66,2023-06-12 11:00:00,TP,778.91,26742.55,2023
BUY,2023-06-13 03:00:00,1960.58,1959.63,1961.53,0.95,802.28,1.1003,0.5569,1959.63,2023-06-13 03:30:00,SL,-802.28,25940.27,2023
SELL,2023-06-16 18:30:00,1957.44,1961.71,1953.17,4.27,778.21,-1.4351,-0.712,1953.17,2023-06-19 10:30:00,TP,778.21,26718.48,2023
SELL,2023-06-20 04:00:00,1950.02,1951.8,1948.24,1.78,801.55,-0.2546,-0.1608,1948.24,2023-06-20 04:15:00,TP,801.55,27520.03,2023
